rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.9800798922859449,role=distributor (0.99); seed_reach=10; degree=86; turnover=12.4m KZT; betweenness=0.0016
2,100000000343175100,distributor,0.9349049040808248,role=distributor (0.97); seed_reach=8; degree=39; turnover=4.2m KZT; betweenness=0.0007
3,100000003115284100,consolidator,0.9336970205023893,role=consolidator (0.99); seed_reach=11; degree=10; turnover=2.7m KZT; betweenness=0.0001
4,100000008165763100,consolidator,0.9284679482922694,role=consolidator (0.96); seed_reach=9; degree=32; turnover=2.4m KZT; betweenness=0.0002
5,100000005074393100,consolidator,0.9273611017797266,role=consolidator (0.96); seed_reach=10; degree=10; turnover=1.2m KZT; betweenness=0.0002
6,100000008489922100,distributor,0.9265068436508694,role=distributor (0.97); seed_reach=8; degree=39; turnover=4.1m KZT; betweenness=0.0005
7,100000008547948100,distributor,0.920277159050962,role=distributor (0.97); seed_reach=8; degree=32; turnover=5.4m KZT; betweenness=0.0009
8,100000007908818100,consolidator,0.9044077352095324,role=consolidator (0.94); seed_reach=11; degree=10; turnover=1.0m KZT; betweenness=0.0001
9,100000008547844100,distributor,0.9009464815960423,role=distributor (0.95); seed_reach=8; degree=22; turnover=2.2m KZT; betweenness=0.0010
10,100000008710791100,distributor,0.9005110276727549,role=distributor (0.96); seed_reach=9; degree=26; turnover=5.7m KZT; betweenness=0.0002
11,100000000331309100,distributor,0.899946670612624,role=distributor (1.00); seed_reach=7; degree=104; turnover=24.0m KZT; betweenness=0.0043
12,100000003016635100,distributor,0.8999443902341506,role=distributor (1.00); seed_reach=7; degree=81; turnover=10.0m KZT; betweenness=0.0036
13,100000008603629100,distributor,0.8993424781797139,role=distributor (0.99); seed_reach=7; degree=80; turnover=6.8m KZT; betweenness=0.0040
14,100000006866783100,distributor,0.897670048324801,role=distributor (0.99); seed_reach=7; degree=80; turnover=4.8m KZT; betweenness=0.0046
15,100000000437046100,distributor,0.890879091525341,role=distributor (0.99); seed_reach=7; degree=51; turnover=8.7m KZT; betweenness=0.0017
16,100000005933757100,distributor,0.8864460840646027,role=distributor (0.97); seed_reach=7; degree=38; turnover=4.2m KZT; betweenness=0.0012
17,100000008477350100,distributor,0.8860524192373108,role=distributor (0.98); seed_reach=7; degree=50; turnover=4.0m KZT; betweenness=0.0010
18,100000004156082100,distributor,0.885970419530992,role=distributor (0.96); seed_reach=7; degree=31; turnover=2.7m KZT; betweenness=0.0027
19,100000005473151100,consolidator,0.8857379794721676,role=consolidator (0.91); seed_reach=9; degree=7; turnover=1.4m KZT; betweenness=0.0002
20,100000001616816100,consolidator,0.8855002435914036,role=consolidator (0.94); seed_reach=11; degree=8; turnover=358k KZT; betweenness=0.0001
21,100000008637537100,consolidator,0.8850532104021512,role=consolidator (0.94); seed_reach=10; degree=6; turnover=3.0m KZT; betweenness=0.0001
22,100000008743913100,distributor,0.8805640589000923,role=distributor (0.91); seed_reach=9; degree=16; turnover=2.0m KZT; betweenness=0.0002
23,100000008466579100,distributor,0.8782926513455052,role=distributor (0.93); seed_reach=8; degree=19; turnover=2.0m KZT; betweenness=0.0002
24,100000002957787100,distributor,0.8744495787163553,role=distributor (0.96); seed_reach=7; degree=38; turnover=1.4m KZT; betweenness=0.0028
