cluster_id,n_nodes,n_seed,sum_kzt_internal,max_priority,avg_priority,top_role,top_gids,hypothesis
1,265,1,29623696.59,0.897670048324801,0.414363558891423,peripheral,100000006866783100;100000000437046100;100000008477350100;100000002957787100;100000004400305100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
2,166,8,22599859.56,0.8999443902341506,0.43276148829778566,peripheral,100000003016635100;100000004156082100;100000001530983100;100000006579678100;100000005287097100,Группа с 8 стартовыми клиентами; есть признаки консолидации/распределения. Проверить потоки.
3,151,5,19360639.0,0.9800798922859449,0.4718547705996132,peripheral,100000003684369100;100000008165763100;100000007908818100;100000008304139100;100000005612411100,Группа с 5 стартовыми клиентами; есть признаки консолидации/распределения. Проверить потоки.
4,150,1,5518694.0,0.7863743458068436,0.20104670897503557,peripheral,100000002527114100;100000001697501100;100000002733905100;100000001166289100;100000003942602100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
5,134,1,26049950.33,0.899946670612624,0.4040148197080012,peripheral,100000000331309100;100000003796063100;100000006274203100;100000006889963100;100000005665181100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
6,121,4,19946834.02,0.8855002435914036,0.3657746065637853,peripheral,100000001616816100;100000005514161100;100000005782781100;100000004015047100;100000002921047100,Группа с 4 стартовыми клиентами и структурным посредником; связь требует проверки.
7,120,0,4465650.0,0.770237358017872,0.1800304802540861,peripheral,100000002578405100;100000008493007100;100000001632325100;100000004292885100;100000008712827100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
8,106,0,6254194.67,0.8857379794721676,0.28166326171629846,peripheral,100000005473151100;100000005704413100;100000008545727100;100000005578559100;100000008104567100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
9,104,0,11039673.0,0.8993424781797139,0.38477867545357697,peripheral,100000008603629100;100000001857829100;100000003880331100;100000004679953100;100000008121806100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
10,74,0,16548311.0,0.9265068436508694,0.470374428676728,peripheral,100000008489922100;100000008547948100;100000008710791100;100000008517538100;100000008752616100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
11,56,3,13397542.0,0.9009464815960423,0.5265220972453225,peripheral,100000008547844100;100000008637537100;100000008466579100;100000008465789100;100000003589877100,Группа с 3 стартовыми клиентами и структурным посредником; связь требует проверки.
12,53,1,3021863.0,0.8464679258120562,0.3951840122265757,peripheral,100000001899164100;100000003265158100;100000004386258100;100000008636603100;100000002193259100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
13,53,1,5947339.0,0.9349049040808248,0.5370880514305242,consolidator,100000000343175100;100000003115284100;100000003635170100;100000003390036100;100000008730846100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
14,51,0,13990812.0,0.8634438332982116,0.399416795984949,terminal,100000008512827100;100000008742053100;100000001282143100;100000002956769100;100000002443664100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
15,50,3,4135421.0,0.9273611017797266,0.430623117705804,peripheral,100000005074393100;100000008346837100;100000006424479100;100000008733194100;100000001236706100,Группа с 3 стартовыми клиентами и структурным посредником; связь требует проверки.
16,44,0,10215968.84,0.8864460840646027,0.4118368375515365,peripheral,100000005933757100;100000001937767100;100000004159526100;100000002963189100;100000002605308100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
17,41,0,5151924.19,0.843127065268391,0.38588671097491645,peripheral,100000003242289100;100000008413748100;100000008512552100;100000006225798100;100000003178549100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
18,31,0,8282505.0,0.8805640589000923,0.5485489272697242,terminal,100000008743913100;100000008710843100;100000001887715100;100000008758168100;100000002748532100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
19,30,1,4579928.59,0.7776799799670518,0.36852164447698804,terminal,100000002838861100;100000003071930100;100000006972210100;100000000190228100;100000001162560100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
20,26,0,2990118.0,0.8451010838442967,0.4391125153356191,terminal,100000003854444100;100000003873332100;100000008546855100;100000001049200100;100000008647905100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
21,26,14,2289450.0,0.841778535175341,0.4736146453446992,peripheral,100000005382566100;100000004403675100;100000005264990100;100000008254069100;100000004041163100,Группа с 14 стартовыми клиентами; есть признаки консолидации/распределения. Проверить потоки.
22,25,0,5089597.0,0.8408789890612319,0.37892828760531927,peripheral,100000005527892100;100000008343874100;100000000724540100;100000002459832100;100000002936322100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
23,20,0,617900.0,0.7659696261522039,0.32729619331484056,peripheral,100000003154105100;100000000723383100;100000001427082100;100000002185328100;100000002448088100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
24,18,0,3422800.0,0.818664910921486,0.4655268932231633,peripheral,100000003701161100;100000008137435100;100000002267998100;100000003718221100;100000001063678100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
25,17,1,21586840.0,0.5719916358120111,0.36498148810284065,peripheral,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000005664922100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
26,17,1,2977887.0,0.48219502006695836,0.341986365783225,peripheral,100000004160650100;100000002731501100;100000004007116100;100000004144536100;100000001330595100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
27,15,0,850450.0,0.8055169466256237,0.4004281198995191,peripheral,100000001526235100;100000002472632100;100000001788284100;100000005505655100;100000002984403100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
28,15,0,3626010.0,0.8352164641060569,0.39873173275033236,peripheral,100000008461532100;100000006704530100;100000000791285100;100000003122817100;100000002691583100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
29,14,0,1605604.0,0.803942969607366,0.40811843778738016,peripheral,100000007382543100;100000003001661100;100000008213966100;100000008655779100;100000000838385100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
30,13,1,1392916.0,0.4462949310266358,0.3088654407903314,peripheral,100000006232815100;100000001380054100;100000003164661100;100000000703894100;100000006734554100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
